index,image_file,pcd_file,t_rel_s,lidar_bag_ns,image_bag_ns,dt_ms,lidar_header_ns,image_header_ns,points_raw,points_saved,sharpness
000000,images/000000.png,pointclouds/000000.pcd,0.010207,1789020534858284856,1789020534848077573,-10.207,1789020534765484032,1789020534756347375,29184,14796,1031.79
000094,images/000094.png,pointclouds/000094.pcd,24.203491,1789020559051568505,1789020559042531079,-9.037,1789020557963372800,1789020558945479933,29184,14865,978.61
